Crosstalk,Ct_Sora_Raf,Ct_Sora_EGFR,Ct_Sora_IGFR,Ct_EGFR_PI3K,Ct_Erk_mTor,Ct_mTor_IGFR,Ct_PI3K_Raf,WBDMSO,WB1257Sora,WB1851Sora,Bp1851Sora,Bp1851DMSO,Bp1851Sora2,Bp1851DMSO2,Bp1257Sora,Bp1257DMSO,Bp1257Sora2,Bp1257DMSO2,Size,
7,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,10,0.1%
7,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,27,0.1%
6,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,24,0.1%
7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,11,0.1%
6,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,9,0.0%
7,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,12,0.1%
5,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,10,0.1%
6,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,10,0.1%
7,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,77,0.4%
6,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,6,0.0%
7,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,9,0.0%
7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,9,0.0%
6,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,24,0.1%
6,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,20,0.1%
5,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,10,0.1%
4,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,10,0.1%
5,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,10,0.1%
6,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,10,0.1%
7,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,28,0.1%
6,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,14,0.1%
5,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,14,0.1%
6,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,14,0.1%
7,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,14,0.1%
7,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,80,0.4%
6,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,12,0.1%
6,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,14,0.1%
7,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,12,0.1%
5,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,4,0.0%
6,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,6,0.0%
6,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,20,0.1%
5,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,6,0.0%
6,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,6,0.0%
5,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,4,0.0%
6,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,33,0.2%
4,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,2,0.0%
5,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,2,0.0%
5,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,12,0.1%
6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,4,0.0%
7,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,42,0.2%
6,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,12,0.1%
